adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950170-25-030421	1402436	SS&C TECHNOLOGIES HOLDINGS INC	7372	US	CT	WINDSOR	06095	80 LAMBERTON RD		860-298-4500	US	CT	WINDSOR	06095	80 LAMBERTON RD		US	DE	710987913			1-LAF	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 09:05:00.0	0	1	ssnc-20241231_htm.xml	1	
0000950170-25-030619	751978	VICOR CORP	3679	US	MA	ANDOVER	01810	25 FRONTAGE ROAD		(978) 470-2900	US	MA	ANDOVER	01810	25 FRONTAGE RD		US	DE	042742817			1-LAF	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 13:44:00.0	0	1	vicr-20241231_htm.xml	1	
0000950170-25-030677	910612	CBL & ASSOCIATES PROPERTIES INC	6798	US	TN	CHATTANOOGA	37421	2030 HAMILTON PLACE BVLD, SUITE 500	CBL CENTER	4238550001	US	TN	CHATTANOOGA	37421	2030 HAMILTON PLACE BVLD, SUITE 500	CBL CENTER	US	DE	621545718			2-ACC	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 14:38:00.0	0	1	cbl-20241231_htm.xml	1	
0000950170-25-030795	203596	WESBANCO INC	6021	US	WV	WHEELING	26003	1 BANK PLAZA		3042349000	US	WV	WHEELING	26003	ONE BANK PLZ		US	WV	550571723			1-LAF	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 15:56:00.0	0	1	wsbc-20241231_htm.xml	1	
0000950170-25-030806	1643615	MONTROSE ENVIRONMENTAL GROUP, INC.	8742	US	CA	IRVINE	92614	4 PARK PLAZA, SUITE 790		(949) 988-3500	US	CA	IRVINE	92614	4 PARK PLAZA, SUITE 790		US	DE	464195044			1-LAF	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:01:00.0	0	1	meg-20241231_htm.xml	1	
0000950170-25-030807	1572616	FRACTYL HEALTH, INC.	3841	US	MA	BURLINGTON	01803	3 VAN DE GRAAFF DRIVE	SUITE 200	781-902-8800	US	MA	BURLINGTON	01803	3 VAN DE GRAAFF DRIVE	SUITE 200	US	DE	273553477	FRACTYL HEALTH, INC.	20210617	4-NON	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:01:00.0	0	1	guts-20241231_htm.xml	1	
0000950170-25-030835	1439725	BIODESIX INC	8071	US	CO	LOUISVILLE	80027	919 WEST DILLON ROAD		303-417-0500	US	CO	LOUISVILLE	80027	919 WEST DILLON ROAD		US	DE	203986492			4-NON	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:06:00.0	0	1	bdsx-20241231_htm.xml	1	
0000950170-25-030849	1528115	ANNEXON, INC.	2834	US	CA	BRISBANE	94005	1400 SIERRA POINT PARKWAY	BLDG C, SUITE 200	(650)-822-5500	US	CA	BRISBANE	94005	1400 SIERRA POINT PARKWAY	BLDG C, SUITE 200	US	DE	275414423			4-NON	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:10:00.0	0	1	annx-20241231_htm.xml	1	
0000950170-25-030855	1720592	REPAY HOLDINGS CORP	7389	US	GA	ATLANTA	30305	3060 PEACHTREE ROAD NW	SUITE 1100	(404) 504-7472	US	GA	ATLANTA	30305	3060 PEACHTREE ROAD NW	SUITE 1100	US	DE	000000000	THUNDER BRIDGE ACQUISITION LTD	20171024	1-LAF	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:12:00.0	0	1	rpay-20241231_htm.xml	1	
0000950170-25-030856	1816017	SPIRE GLOBAL, INC.	4899	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	(202) 301-5127	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	US	DE	851276957	NAVSIGHT HOLDINGS, INC.	20200624	4-NON	0	1231	10-K/A	20231231	2023	FY	20250303	2025-03-03 16:13:00.0	0	1	spir-20231231_htm.xml	1	
0000950170-25-030862	1816017	SPIRE GLOBAL, INC.	4899	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	(202) 301-5127	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	US	DE	851276957	NAVSIGHT HOLDINGS, INC.	20200624	4-NON	0	1231	10-Q/A	20240331	2024	Q1	20250303	2025-03-03 16:15:00.0	0	1	spir-20240331_htm.xml	1	
0000950170-25-030868	1816017	SPIRE GLOBAL, INC.	4899	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	(202) 301-5127	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	US	DE	851276957	NAVSIGHT HOLDINGS, INC.	20200624	4-NON	0	1231	10-Q	20240630	2024	Q2	20250303	2025-03-03 16:16:00.0	0	1	spir-20240630_htm.xml	1	
0000950170-25-030877	1816017	SPIRE GLOBAL, INC.	4899	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	(202) 301-5127	US	VA	VIENNA	22182	8000 TOWERS CRESCENT DRIVE	SUITE 1225	US	DE	851276957	NAVSIGHT HOLDINGS, INC.	20200624	4-NON	0	1231	10-Q	20240930	2024	Q3	20250303	2025-03-03 16:18:00.0	0	1	spir-20240930_htm.xml	1	
0000950170-25-030878	1726445	SEER, INC.	3826	US	CA	REDWOOD CITY	94065	3800 BRIDGE PARKWAY, SUITE 102		650-453-0000	US	CA	REDWOOD CITY	94065	3800 BRIDGE PARKWAY, SUITE 102		US	DE	821153150	SEER BIOSCIENCES, INC.	20171226	4-NON	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:19:00.0	0	1	ck0001726445-20241231_htm.xml	1	
0000950170-25-030894	25475	CRAWFORD & CO	6411	US	GA	PEACHTREE CORNERS	30092	5335 TRIANGLE PARKWAY		4043001000	US	GA	PEACHTREE CORNERS	30092	5335 TRIANGLE PARKWAY		US	GA	580506554			2-ACC	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:26:00.0	0	1	crda-20241231_htm.xml	1	
0000950170-25-030897	1109354	BRUKER CORP	3826	US	MA	BILLERICA	01821	40 MANNING RD		978663-3660	US	MA	BILLERICA	01821	40 MANNING RD		US	DE	043110160	BRUKER BIOSCIENCES CORP	20030721	1-LAF	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:28:00.0	0	1	brkr-20241231_htm.xml	1	
0000950170-25-030909	1780312	AST SPACEMOBILE, INC.	4899	US	TX	AUSTIN	78730	6500 RIVERPLACE BOULEVARD		9179694834	US	TX	AUSTIN	78730	6500 RIVERPLACE BOULEVARD		US	DE	000000000	NEW PROVIDENCE ACQUISITION CORP.	20190620	1-LAF	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:31:00.0	0	1	asts-20241231_htm.xml	1	
0000950170-25-030913	1478320	ADAPTIVE BIOTECHNOLOGIES CORP	2836	US	WA	SEATTLE	98109	1165 EASTLAKE AVE E		206-659-0067	US	WA	SEATTLE	98109	1165 EASTLAKE AVE E		US	WA	270907024	ADAPTIVE TCR CORP	20091209	2-ACC	1	1231	10-K	20241231	2024	FY	20250303	2025-03-03 16:36:00.0	0	1	adpt-20241231_htm.xml	1	
0000950170-25-030989	1287865	MEDICAL PROPERTIES TRUST INC	6798	US	AL	BIRMINGHAM	35242	1000 URBAN CENTER DRIVE	SUITE 501	205-969-3755	US	AL	BIRMINGHAM	35242	1000 URBAN CENTER DRIVE	SUITE 501	US	DE	000000000			1-LAF	0	1231	10-K	20241231	2024	FY	20250303	2025-03-03 17:01:00.0	0	1	mpw-20241231_htm.xml	2	1524607
0000950170-25-024305	775158	OSHKOSH CORP	3711	US	WI	OSHKOSH	54902	1917 FOUR WHEEL DRIVE		920-502-3400	US	WI	OSHKOSH	54902	1917 FOUR WHEEL DRIVE		US	WI	390520270	OSHKOSH TRUCK CORP	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250220	2025-02-20 17:21:00.0	0	1	osk-20241231_htm.xml	1	
0000950170-25-024313	811596	KAISER ALUMINUM CORP	3350	US	TN	FRANKLIN	37067	1550 W. MCEWEN DRIVE, SUITE 50		949-614-1740	US	TN	FRANKLIN	37067	1550 W. MCEWEN DRIVE, SUITE 50		US	DE	943030279	KAISERTECH LTD	19901122	1-LAF	1	1231	10-K	20241231	2024	FY	20250220	2025-02-20 17:22:00.0	0	1	kalu-20241231_htm.xml	1	
0000950170-25-024314	1723788	BITWISE 10 CRYPTO INDEX FUND	6221	US	CA	SAN FRANCISCO	94104	250 MONTGOMERY STREET	SUITE 200	415-707-3663	US	CA	SAN FRANCISCO	94104	250 MONTGOMERY STREET	SUITE 200	US	DE	823002349	BITWISE 10 PRIVATE INDEX FUND, LLC	20181003	4-NON	0	1231	10-K	20241231	2024	FY	20250220	2025-02-20 17:23:00.0	0	1	bitw-20241231_htm.xml	1	
0000950170-25-024407	1372020	GREAT LAKES DREDGE & DOCK CORP	1600	US	TX	HOUSTON	77024	9811 KATY FREEWAY	SUITE 1200	(346) 359-1010	US	TX	HOUSTON	77024	9811 KATY FREEWAY	SUITE 1200	US	DE	205336063	GREAT LAKES DREDGE & DOCK HOLDINGS CORP.	20060808	2-ACC	0	1231	10-K	20241231	2024	FY	20250221	2025-02-20 18:15:00.0	0	1	gldd-20241231_htm.xml	1	
0000950170-25-024488	1472787	FIRST AMERICAN FINANCIAL CORP	6361	US	CA	SANTA ANA	92707	1 FIRST AMERICAN WAY		714-250-3000	US	CA	SANTA ANA	92707	1 FIRST AMERICAN WAY		US	DE	261911571			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-20 19:46:00.0	0	1	faf-20241231_htm.xml	1	
0000950170-25-024533	1853513	MISTER CAR WASH, INC.	7500	US	AZ	TUCSON	85705	222 E. 5TH STREET		520-615-4000	US	AZ	TUCSON	85705	222 E. 5TH STREET		US	DE	000000000			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 06:02:00.0	0	1	mcw-20241231_htm.xml	1	
0000950170-25-024539	96271	TAMPA ELECTRIC CO	4911	US	FL	TAMPA	33602	702 N FRANKLIN ST	TECO PLZA	8132284111	US	FL	TAMPA	33602	TAMPA ELECTRIC CO	TECO PLAZA 702 N FRANKLIN ST	US	FL	590475140			4-NON	0	1231	10-K	20241231	2024	FY	20250221	2025-02-21 06:11:00.0	0	1	ck0000096271-20241231_htm.xml	1	
0000950170-25-024552	1758488	ONESPAWORLD HOLDINGS LTD	7997	BS		NASSAU	0000	LOBOSKY MANAGEMENT CO. LTD., OFFICE #2	AIRPORT INDUSTRIAL PARK, BOX N-624	242-322-2670	BS		NASSAU	0000	LOBOSKY MANAGEMENT CO. LTD., OFFICE #2	AIRPORT INDUSTRIAL PARK, BOX N-624	BS		000000000			1-LAF	0	1231	10-K	20241231	2024	FY	20250221	2025-02-21 08:36:00.0	0	1	osw-20241231_htm.xml	1	
0000950170-25-024666	36029	FIRST FINANCIAL BANKSHARES INC	6022	US	TX	ABILENE	79601	400 PINE STREET		325.627.7167	US	TX	ABILENE	79601	400 PINE STREET		US	TX	750944023			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 12:37:00.0	0	1	ffin-20241231_htm.xml	1	
0000950170-25-024723	879101	KIMCO REALTY CORP	6798	US	NY	JERICHO	11753	500 NORTH BROADWAY	SUITE 201, P.O. BOX 9010	(516) 869-9000	US	NY	JERICHO	11753	500 NORTH BROADWAY	SUITE 201	US	MD	132744380			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 14:01:00.0	0	1	kim-20241231_htm.xml	2	1959472
0000950170-25-024745	1070985	CORECIVIC, INC.	6798	US	TN	BRENTWOOD	37027	5501 VIRGINIA WAY		615-263-3000	US	TN	BRENTWOOD	37027	5501 VIRGINIA WAY		US	MD	621763875	CORRECTIONS CORP OF AMERICA	20001003	1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 14:35:00.0	0	1	cxw-20241231_htm.xml	1	
0000950170-25-024750	746515	EXPEDITORS INTERNATIONAL OF WASHINGTON INC	4731	US	WA	BELLEVUE	98006	STERLING PLAZA 2, 3RD FLOOR	3545 FACTORIA BLVD. SE	2066743400	US	WA	SEATTLE	98101	1200 THIRD AVENUE		US	WA	911069248			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 14:41:00.0	0	1	expd-20241231_htm.xml	1	
0000950170-25-024770	916076	MARTIN MARIETTA MATERIALS INC	1400	US	NC	RALEIGH	27612	4123 PARKLAKE AVE		919-781-4550	US	NC	RALEIGH	27612	4123 PARKLAKE AVE		US	NC	561848578			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 14:58:00.0	0	1	mlm-20241231_htm.xml	1	
0000950170-25-024783	23194	COMSTOCK RESOURCES INC	1311	US	TX	FRISCO	75034	5300 TOWN AND COUNTRY BLVD	STE 500	9726688800	US	TX	FRISCO	75034	5300 TOWN AND COUNTRY BLVD	STE 500	US	NV	941667468	COMSTOCK TUNNEL & DRAINAGE CO	19880121	1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 15:30:00.0	0	1	crk-20241231_htm.xml	1	
0000950170-25-024813	718937	STAAR SURGICAL CO	3851	US	CA	MONROVIA	91016	1911 WALKER AVE		6263037902	US	CA	MONROVIA	91016	1911 WALKER AVE		US	DE	953797439	STAAR SURGICAL COMPANY	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 16:01:00.0	0	1	staa-20241227_htm.xml	1	
0000950170-25-024834	2027317	CURBLINE PROPERTIES CORP.	6500	US	NY	NEW YORK	10022	320 PARK AVENUE		216-755-5500	US	OH	BEACHWOOD	44122	3300 ENTERPRISE PARKWAY		US	MD	934224532			4-NON	0	1231	10-K	20241231	2024	FY	20250221	2025-02-21 16:06:00.0	0	1	curb-20241231_htm.xml	1	
0000950170-25-024835	1954360	CRESCENT PRIVATE CREDIT INCOME CORP		US	CA	LOS ANGELES	90025	11100 SANTA MONICA BLVD.	SUITE 2000	310-235-5900	US	CA	LOS ANGELES	90025	11100 SANTA MONICA BLVD.	SUITE 2000	US	MD	884283363			4-NON	0	1231	10-K	20241231	2024	FY	20250221	2025-02-21 16:06:00.0	0	1	ck0001954360-20241231_htm.xml	1	
0000950170-25-024838	61986	MANITOWOC CO INC	3531	US	WI	MILWAUKEE	53224	11270 WEST PARK PLACE	SUITE 10000	9206522222	US	WI	MILWAUKEE	53224	11270 WEST PARK PLACE	SUITE 10000	US	WI	390448110			2-ACC	0	1231	10-K	20241231	2024	FY	20250221	2025-02-21 16:07:00.0	0	1	mtw-20241231_htm.xml	1	
0000950170-25-024839	1116942	TTM TECHNOLOGIES INC	3672	US	CA	SANTA ANA	92707	200 EAST SANDPOINTE	SUITE 400	7143273000	US	CA	SANTA ANA	92707	200 EAST SANDPOINTE	SUITE 400	US	DE	911033443			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 16:08:00.0	0	1	ttmi-20241230_htm.xml	1	
0000950170-25-043190	1878313	MAIA BIOTECHNOLOGY, INC.	2834	US	IL	CHICAGO	60606	444 WEST LAKE STREET, SUITE 1700		312-416-8592	US	IL	CHICAGO	60606	444 WEST LAKE STREET, SUITE 1700		US	DE	000000000			4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 16:09:00.0	0	1	maia-20241231_htm.xml	1	
0000950170-25-043195	895447	SHOE CARNIVAL INC	5661	US	IN	EVANSVILLE	47715	7500 EAST COLUMBIA STREET		8128676471	US	IN	EVANSVILLE	47715	7500 EAST COLUMBIA STREET		US	IN	351736614			2-ACC	0	0131	10-K	20250131	2024	FY	20250321	2025-03-21 16:10:00.0	0	1	scvl-20250201_htm.xml	1	
0000950170-25-043210	1873529	KINDERCARE LEARNING COMPANIES, INC.	8351	US	OR	LAKE OSWEGO	97035	5005 MEADOWS ROAD		(503) 872-1300	US	OR	LAKE OSWEGO	97035	5005 MEADOWS ROAD		US	DE	000000000	KC HOLDCO, LLC	20210719	4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 16:16:00.0	0	1	klc-20241228_htm.xml	1	
0000950170-25-043234	1787740	TIVIC HEALTH SYSTEMS, INC.	3845	US	CA	FREMONT	94538	47685 LAKEVIEW BLVD		(888)276-6888	US	CA	FREMONT	94538	47685 LAKEVIEW BLVD		US	DE	814016391			4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 16:25:00.0	0	1	tivc-20241231_htm.xml	1	
0000950170-25-043249	1823406	AFFINITY BANCSHARES, INC.	6036	US	GA	COVINGTON	30014	3175 HIGHWAY 278		(770) 786-7088	US	GA	COVINGTON	30014	3175 HIGHWAY 278		US	MD	821147778			4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 16:31:00.0	0	1	afbi-20241231_htm.xml	1	
0000950170-25-043295	1784700	VARAGON CAPITAL CORP		US	NY	NEW YORK	10036	151 WEST 42ND STREET	53RD FLOOR	212.235.2600	US	NY	NEW YORK	10036	151 WEST 42ND STREET	53RD FLOOR	US	MD	301206578	VARAGON CAPITAL CORP.	20190806	4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 16:53:00.0	0	1	ck0001784700-20241231_htm.xml	1	
0000950170-25-043325	1052354	MAN AHL DIVERSIFIED I LP	6221	US	IL	CHICAGO	60606	123 NORTH WACKER DRIVE	SUITE 2800	312-881-6800	US	IL	CHICAGO	60606	123 NORTH WACKER DRIVE	SUITE 2800	US	DE	000000000			4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 17:01:00.0	0	1	ck0001052354-20241231_htm.xml	1	
0000950170-25-043326	1936224	SURF AIR MOBILITY INC.	4522	US	CA	HAWTHORNE	90250	12111 S. CRENSHAW BLVD.		310-365-3675	US	CA	HAWTHORNE	90250	12111 S. CRENSHAW BLVD.		US	DE	000000000			4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 17:02:00.0	0	1	srfm-20241231_htm.xml	1	
0000950170-25-043328	1882850	APOLLO REALTY INCOME SOLUTIONS, INC.	6798	US	NY	NEW YORK	10019	9 WEST 57TH STREET, 42ND FLOOR		212-515-3200	US	NY	NEW YORK	10019	9 WEST 57TH STREET, 42ND FLOOR		US	MD	872557571			4-NON	0	1231	10-K	20241231	2024	FY	20250321	2025-03-21 17:04:00.0	0	1	ck0001882850-20241231_htm.xml	1	
0000950170-25-043370	13156	GALAXY GAMING, INC.	7900	US	NV	LAS VEGAS	89118	6480 CAMERON STREET	SUITE 305	702-939-3254	US	NV	LAS VEGAS	89118	6480 CAMERON STREET	SUITE 305			208143439	SECURED DIVERSIFIED INVESTMENT LTD	20050622	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-21 17:42:00.0	0	1	glxz-20241231_htm.xml	1	
0000950170-25-043486	1907108	LEXEO THERAPEUTICS, INC.	2836	US	NY	NEW YORK	10010	345 PARK AVENUE SOUTH	FLOOR 6	(212) 547-9879	US	NY	NEW YORK	10010	345 PARK AVENUE SOUTH	FLOOR 6			854012572			4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 07:03:00.0	0	1	lxeo-20241231_htm.xml	1	
0000950170-25-043495	1537137	STANDARD LITHIUM LTD.	2800	CA	BC	VANCOUVER	V6E 3C9	SUITE 1625, 1075 W. GEORGIA STREET		870-393-2885	US	TX	AUSTIN	78746	3600 N CAPITAL OF TX HWY,	BUILDING B, SUITE 2300	CA	BC	000000000	PATRIOT PETROLEUM CORP.	20111213		0	1231	40-F	20241231	2024	FY	20250324	2025-03-24 08:01:00.0	0	1	ck0001537137-20241231_htm.xml	1	
0000950170-25-043837	1817241	ARTIVA BIOTHERAPEUTICS, INC.	2836	US	CA	SAN DIEGO	92121	5505 MOREHOUSE DRIVE		(858) 267-4467	US	CA	SAN DIEGO	92121	5505 MOREHOUSE DRIVE		US	DE	863614316			4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:10:00.0	0	1	artv-20241231_htm.xml	1	
0000950170-25-043852	1642380	ONCOCYTE CORP	2835	US	CA	IRVINE	92618	15 CUSHING		949-409-7600	US	CA	IRVINE	92618	15 CUSHING		US	CA	271041563	ONCOCYTE CORP	20200213	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:16:00.0	0	1	ocx-20241231_htm.xml	1	
0000950170-25-043857	1633858	AUDAX CREDIT BDC INC.		US	MA	BOSTON	02199	101 HUNTINGTON AVENUE		(617) 859-1513	US	MA	BOSTON	02199	101 HUNTINGTON AVENUE		US	DE	473039124	AUDAX CREDIT BDC, INC.	20150415	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:20:00.0	0	1	ck0001633858-20241231_htm.xml	1	
0000950170-25-043859	1357459	PALISADE BIO, INC.	2836	US	CA	CARLSBAD	92009	7750 EL CAMINO REAL, SUITE 5200		(858) 704-4900	US	CA	CARLSBAD	92009	7750 EL CAMINO REAL, SUITE 5200		US	DE	522007292	SENECA BIOPHARMA, INC.	20200127	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:20:00.0	0	1	pali-20241231_htm.xml	1	
0000950170-25-043873	1641281	BOLT BIOTHERAPEUTICS, INC.	2834	US	CA	REDWOOD CITY	94063	900 CHESAPEAKE DRIVE		650-665-9295	US	CA	REDWOOD CITY	94063	900 CHESAPEAKE DRIVE		US	DE	472804636	BOLT THERAPEUTICS, INC.	20150504	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:27:00.0	0	1	bolt-20241231_htm.xml	1	
0000950170-25-043874	1643154	IANTHUS CAPITAL HOLDINGS, INC.	0100	CA	BC	VANCOUVER	V6E 3C9	SUITE 1980, 1075 WEST GEORGIA ST.		604-688-9588	CA	BC	VANCOUVER	V6E 3C9	SUITE 1980, 1075 WEST GEORGIA ST.		CA	BC	000000000	GENARCA HOLDINGS LTD	20150522	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:28:00.0	0	1	ithuf-20241231_htm.xml	1	
0000950170-25-043923	1901799	BITCOIN DEPOT INC.	6199	US	GA	ATLANTA	30326	3343 PEACHTREE ROAD NE	SUITE 750	678-435-9604	US	GA	ATLANTA	30305	2870 PEACHTREE ROAD	#327			873219029	GSR II METEORA ACQUISITION CORP.	20220124	4-NON	0	1231	10-K	20241231	2024	FY	20250324	2025-03-24 16:49:00.0	0	1	btm-20241231_htm.xml	1	
0001091818-25-000026	1619096	SUMMIT NETWORKS INC.	4953	CA	BC	RICHMOND	V6X 3Z8	3010-8888 ODLIN CRESENT		604-232-3968	CA	BC	RICHMOND	V6X 3Z8	3010-8888 ODLIN CRESENT		US	NV	352511257			4-NON	0	1231	10-K	20241231	2024	FY	20250328	2025-03-28 15:24:00.0	0	1	sntw03282510k_htm.xml	1	
0001092699-25-000011	1092699	SPS COMMERCE INC	7372	US	MN	MINNEAPOLIS	55402	333 SOUTH SEVENTH STREET	SUITE 1000	612-435-9400	US	MN	MINNEAPOLIS	55402	333 SOUTH SEVENTH STREET	SUITE 1000	US	DE	411593154			1-LAF	1	1231	10-K	20241231	2024	FY	20250219	2025-02-18 20:19:00.0	0	1	spsc-20241231_htm.xml	1	
0001093557-25-000036	1093557	DEXCOM INC	3841	US	CA	SAN DIEGO	92121	6340 SEQUENCE DRIVE		8582000200	US	CA	SAN DIEGO	92121	6340 SEQUENCE DRIVE		US	DE	330857544			1-LAF	1	1231	10-K	20241231	2024	FY	20250218	2025-02-14 17:53:00.0	0	1	dxcm-20241231_htm.xml	1	
0001094285-25-000053	1094285	TELEDYNE TECHNOLOGIES INC	3812	US	CA	THOUSAND OAKS	91360	1049 CAMINO DOS RIOS		805-373-4545	US	CA	THOUSAND OAKS	91360	1049 CAMINO DOS RIOS		US	DE	251843385			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-20 19:10:00.0	0	1	tdy-20241229_htm.xml	1	
0001096906-25-000004	1360442	DOGECOIN CASH, INC.	7200	US	NV	MESQUITE	89027	355 W MESQUITE BLVD	C70	323-420-8683	US	NV	MESQUITE	89027	355 W MESQUITE BLVD	C70	US	NV	201898270	CANNABIS SATIVA, INC.	20131118	4-NON	0	1231	10-Q/A	20240930	2024	Q3	20250102	2025-01-02 14:10:00.0	0	1	cbds-20240930_htm.xml	1	
0001096906-25-000090	1360442	DOGECOIN CASH, INC.	7200	US	NV	MESQUITE	89027	355 W MESQUITE BLVD	C70	323-420-8683	US	NV	MESQUITE	89027	355 W MESQUITE BLVD	C70	US	NV	201898270	CANNABIS SATIVA, INC.	20131118	4-NON	0	1231	10-K/A	20231231	2023	FY	20250124	2025-01-24 16:09:00.0	0	1	cbds_10ka_htm.xml	1	
0001096906-25-000113	775057	ALTEX INDUSTRIES INC	1311	US	CO	DENVER	80206-4084	700 COLORADO BLVD	#273	3032659312	US	CO	DENVER	80206-4084	700 COLORADO BLVD	#273	US	DE	840989164			4-NON	0	0930	10-Q	20241231	2025	Q1	20250131	2025-01-31 17:04:00.0	0	0	altx-20241231_htm.xml	1	
0001096906-25-000126	1610718	OUTDOOR SPECIALTY PRODUCTS, INC.	3949	US	UT	SALT LAKE CITY	84109	3842 QUAIL HOLLOW DRIVE		801-560-5184	US	UT	SALT LAKE CITY	84109	3842 QUAIL HOLLOW DRIVE		US	UT	464854952			4-NON	0	0930	10-Q	20241231	2025	Q1	20250205	2025-02-05 16:09:00.0	0	1	odrs-20241231_htm.xml	1	
0001096906-25-000156	1755101	APPLIFE DIGITAL SOLUTIONS INC	7374	US	CA	SAN FRANCISCO	94111	50 CALIFORNIA ST	SUITE 1500	4154395260	US	CA	SAN FRANCISCO	94111	50 CALIFORNIA ST	SUITE 1500	US	NV	824868628			4-NON	0	0630	10-Q	20241231	2025	Q2	20250213	2025-02-13 16:40:00.0	0	1	alds-20241231_htm.xml	1	
0001096906-25-000275	1911467	CIRCLE ENERGY, INC./NV	1311	US	OK	TULSA	74133	8211 E REGAL PLACE		918-994-0693	US	OK	TULSA	74133	8211 E REGAL PLACE		US	NV	874125972			4-NON	0	1231	10-K	20241231	2024	FY	20250320	2025-03-20 13:27:00.0	0	1	crcl-20241231_htm.xml	1	
0001096906-25-000308	706698	UTAH MEDICAL PRODUCTS INC	3841	US	UT	MIDVALE	84047	7043 S 300 WEST		8015661200							US	UT	870342734			4-NON	0	1231	10-K	20241231	2024	FY	20250326	2025-03-26 17:13:00.0	0	1	utmd-20241231_htm.xml	1	
0001096906-25-000346	1391135	LFTD PARTNERS INC.	2834	US	FL	JACKSONVILLE	32224	14155 PINE ISLAND DRIVE		847-915-2446	US	FL	JACKSONVILLE	32224	14155 PINE ISLAND DRIVE		US	NV	870479286	ACQUIRED SALES CORP	20100518	4-NON	0	1231	10-K	20241231	2024	FY	20250331	2025-03-31 16:54:00.0	0	1	lsfp_10k_htm.xml	1	
0001096906-25-000350	1393772	WEED, INC.	8731	US	AZ	TUCSON	85750	4920 N. POST TRAIL		520-818-8582	US	AZ	TUCSON	85750	4920 N. POST TRAIL		US	NV	830452269	UNITED MINES INC	20070320	4-NON	0	1231	10-K	20241231	2024	FY	20250331	2025-03-31 17:11:00.0	0	1	budz-20241231_htm.xml	1	
0001096906-25-000352	1812447	SKY QUARRY INC.	4955	US	UT	WOODS CROSS	84087	707 W. 700 S.	SUITE 101	424-394-1090	US	UT	WOODS CROSS	84087	707 W. 700 S.	SUITE 101	US	DE	841803091			4-NON	0	1231	10-K	20241231	2024	FY	20250331	2025-03-31 17:27:00.0	0	1	sqi-20241231_htm.xml	1	
